Tweet_ID,Tweet_Length_Words,Tweet_Length_Chars,Tweet_Punctuation_Count,Tweet_Has_URL,Tweet_Has_Short_URL,Tweet_Has_Emoji,Tweet_Has_User_Mentions,Tweet_Num_Mentions,Tweet_Num_Hashtags,Tweet_Num_Likes,Tweet_Num_Retweets,Tweet_Num_Replies,Tweet_Compound_Score,Tweet_Is_Reply,User_Time_on_Twitter,User_Followers,User_Friends,User_Is_Verified,User_Handle_Has_Number
973721328049012736,35,302,31,1,1,0,1,2,10,0,1,0,0.2656,0,125,788860,788860,0,0
974266750614175744,45,309,24,1,1,0,1,2,6,0,1,0,-0.6452,1,125,788919,788919,0,0
974344720645283840,14,117,11,1,1,0,0,0,3,0,1,0,-0.4939,0,45,1274,1274,0,0
974350856979189761,43,238,4,0,0,0,0,0,0,23,1,5,-0.7533,0,124,330730,330730,1,0
974337011279695873,25,160,11,1,1,0,0,0,2,1,2,0,-0.7579,0,56,3308,3308,0,0
976857072989081604,26,228,16,1,1,0,0,0,10,5,2,0,0.7906,0,100,4333,4333,0,0
970772212260065280,10,87,7,1,1,0,0,0,2,0,1,0,-0.5994,0,120,2700,2700,0,0
977133340519256064,26,240,16,1,1,0,0,0,2,0,3,0,0.7686,0,97,2387,2387,0,0
978439020157046784,42,277,9,0,0,0,0,0,0,1,1,0,-0.1714,0,16,195,195,0,0
970102866189807616,27,203,16,1,1,0,0,0,6,0,1,0,-0.4466,0,125,791388,791388,0,0
973045880814059525,12,113,10,1,1,0,1,1,4,1,1,0,-0.296,0,120,2713,2713,0,0
973046051534966784,16,138,12,1,1,0,0,0,3,0,1,0,0.0258,0,59,144,144,0,0
978810384831234048,30,275,22,1,1,0,0,0,4,1,1,0,0.2732,0,43,920,920,0,0
978966204885950464,25,205,20,1,1,0,1,3,1,0,1,0,0.4404,0,101,15840,15840,1,0
973517523571355649,30,210,16,1,1,0,0,0,4,0,1,0,0.8718,0,68,796,796,0,0
970366800935473156,26,233,19,1,1,0,1,1,10,1,2,0,0.4926,0,61,4554,4554,0,0
969994080053850112,15,131,13,1,1,0,1,3,2,1,1,0,0.4926,0,118,644,644,0,0
971596781711646720,28,299,22,1,1,0,1,8,4,0,1,0,0.0,0,109,93,93,0,0
968167568451297280,21,189,16,1,1,0,0,0,4,8,14,0,0.3612,0,104,7388,7388,1,0
